week_start,property_id,property_name,market,submarket,comp_effective_rent,subject_effective_rent,rent_position_vs_comp_pct,comp_occupancy,submarket_traffic_index,new_supply_units
2026-02-01,MF016,Avion Ridge,Phoenix,Mesa,1924.0,1866.0,-0.0301,0.9356,107.4,135
2026-02-08,MF016,Avion Ridge,Phoenix,Mesa,1936.0,1892.0,-0.0227,0.95,101.6,77
2026-02-15,MF016,Avion Ridge,Phoenix,Mesa,1839.0,1885.0,0.0249,0.9485,94.4,124
2026-02-22,MF016,Avion Ridge,Phoenix,Mesa,1937.0,1892.0,-0.0236,0.9643,98.2,186
2026-03-01,MF016,Avion Ridge,Phoenix,Mesa,2016.0,1901.0,-0.0567,0.9277,102.2,176
2026-03-08,MF016,Avion Ridge,Phoenix,Mesa,1888.0,1879.0,-0.0047,0.9583,102.1,224
2026-03-15,MF016,Avion Ridge,Phoenix,Mesa,1908.0,1880.0,-0.0151,0.9232,89.5,195
2026-03-22,MF016,Avion Ridge,Phoenix,Mesa,1887.0,1906.0,0.0102,0.9399,104.1,233
2026-03-29,MF016,Avion Ridge,Phoenix,Mesa,1903.0,1913.0,0.0049,0.9429,111.3,187
2026-04-05,MF016,Avion Ridge,Phoenix,Mesa,1884.0,1889.0,0.003,0.9256,89.0,216
2026-04-12,MF016,Avion Ridge,Phoenix,Mesa,1917.0,1903.0,-0.007,0.963,98.1,59
2026-04-19,MF016,Avion Ridge,Phoenix,Mesa,1937.0,1914.0,-0.0124,0.9745,93.2,90
2026-01-04,MF017,Hill Country Villas,San Antonio,Northwest,1700.0,1740.0,0.0237,0.9202,89.0,121
2026-01-11,MF017,Hill Country Villas,San Antonio,Northwest,1728.0,1741.0,0.0077,0.9591,84.3,254
2026-01-18,MF017,Hill Country Villas,San Antonio,Northwest,1717.0,1749.0,0.0189,0.9818,101.1,152
2026-01-25,MF017,Hill Country Villas,San Antonio,Northwest,1732.0,1752.0,0.0116,0.9783,97.4,186
2026-02-01,MF017,Hill Country Villas,San Antonio,Northwest,1715.0,1759.0,0.0254,0.9691,91.3,154
2026-02-08,MF017,Hill Country Villas,San Antonio,Northwest,1784.0,1738.0,-0.0256,0.9722,91.4,132
2026-02-15,MF017,Hill Country Villas,San Antonio,Northwest,1801.0,1746.0,-0.0306,0.9689,98.3,97
2026-02-22,MF017,Hill Country Villas,San Antonio,Northwest,1856.0,1753.0,-0.0552,0.9275,84.7,46
2026-03-01,MF017,Hill Country Villas,San Antonio,Northwest,1852.0,1743.0,-0.0586,0.9736,94.8,173
2026-03-08,MF017,Hill Country Villas,San Antonio,Northwest,1728.0,1756.0,0.0162,0.939,92.9,66
2026-03-15,MF017,Hill Country Villas,San Antonio,Northwest,1805.0,1762.0,-0.0243,0.9652,99.1,148
2026-03-22,MF017,Hill Country Villas,San Antonio,Northwest,1813.0,1777.0,-0.0202,0.976,92.3,129
2026-03-29,MF017,Hill Country Villas,San Antonio,Northwest,1869.0,1789.0,-0.0425,0.985,95.8,157
2026-04-05,MF017,Hill Country Villas,San Antonio,Northwest,1762.0,1757.0,-0.0026,0.9515,95.2,236
2026-04-12,MF017,Hill Country Villas,San Antonio,Northwest,1754.0,1790.0,0.0202,0.9714,101.2,224
2026-04-19,MF017,Hill Country Villas,San Antonio,Northwest,1856.0,1788.0,-0.0365,0.9633,86.1,124
2026-01-04,MF018,Catalina Pointe,San Antonio,Medical Center,1946.0,1810.0,-0.0699,0.7278,105.2,418
2026-01-11,MF018,Catalina Pointe,San Antonio,Medical Center,2009.0,1808.0,-0.1001,0.7544,113.8,283
2026-01-18,MF018,Catalina Pointe,San Antonio,Medical Center,1833.0,1793.0,-0.0217,0.7601,93.6,287
2026-01-25,MF018,Catalina Pointe,San Antonio,Medical Center,1840.0,1801.0,-0.0215,0.7254,97.5,443
2026-02-01,MF018,Catalina Pointe,San Antonio,Medical Center,1912.0,1830.0,-0.0429,0.8024,93.3,225
2026-02-08,MF018,Catalina Pointe,San Antonio,Medical Center,1905.0,1823.0,-0.0433,0.791,96.4,530
2026-02-15,MF018,Catalina Pointe,San Antonio,Medical Center,1908.0,1823.0,-0.0446,0.8015,105.1,368
2026-02-22,MF018,Catalina Pointe,San Antonio,Medical Center,1966.0,1812.0,-0.0782,0.7644,94.1,538
2026-03-01,MF018,Catalina Pointe,San Antonio,Medical Center,1919.0,1814.0,-0.0549,0.7845,101.2,510
2026-03-08,MF018,Catalina Pointe,San Antonio,Medical Center,1909.0,1821.0,-0.0464,0.7994,102.0,311
2026-03-15,MF018,Catalina Pointe,San Antonio,Medical Center,2043.0,1849.0,-0.0947,0.7928,92.5,506
2026-03-22,MF018,Catalina Pointe,San Antonio,Medical Center,1973.0,1845.0,-0.065,0.7901,111.1,442
2026-03-29,MF018,Catalina Pointe,San Antonio,Medical Center,1933.0,1836.0,-0.0505,0.7574,110.0,292
2026-04-05,MF018,Catalina Pointe,San Antonio,Medical Center,1920.0,1814.0,-0.0554,0.7615,95.1,352
2026-04-12,MF018,Catalina Pointe,San Antonio,Medical Center,1917.0,1832.0,-0.0442,0.7921,102.8,517
2026-04-19,MF018,Catalina Pointe,San Antonio,Medical Center,1932.0,1820.0,-0.0579,0.7673,93.7,141
